,0,1,2
4423,/m/0yg7p,/m/0yg7p,/location/hud_county_place/place
4580,/m/02qs77g,/m/02qs77g,/education/educational_institution/campuses
4582,/m/02qs77g,/m/02qs77g,/education/educational_institution_campus/educational_institution
5143,/m/0cqnq8,/m/06n47z,/film/film/starring./film/performance/actor
5253,/m/0hhsbj6,/m/03dk9t,/sports/sports_league/sport
5491,/m/04n7g12,/m/04n7g12,/education/educational_institution/campuses
5499,/m/04n7g12,/m/04n7g12,/education/educational_institution_campus/educational_institution
5810,/m/010w98,/m/010w98,/location/hud_county_place/place
5853,/m/01x3mx,/m/06x3w,/food/food/nutrients./food/nutrition_fact/nutrient
5899,/m/02pgwh1,/m/06xwj9,/cvg/computer_videogame/publisher
5940,/m/049_gyf,/m/049_gyf,/location/hud_county_place/place
6108,/m/0bs09xw,/m/064h0m,/tv/tv_actor/guest_roles./tv/tv_guest_role/episodes_appeared_in
6472,/m/0f2x0,/m/05ftpb,/film/actor/film./film/performance/film
6892,/m/06yps4m,/m/01hb9p,/tv/tv_series_episode/guest_stars./tv/tv_guest_role/actor
7730,/m/01ty7_y,/m/0b3kpr,/film/actor/film./film/performance/film
7827,/m/0452wg,/m/03crt9x,/location/location/people_born_here
8000,/m/07vlx1,/m/07vlx1,/education/educational_institution_campus/educational_institution
8003,/m/07vlx1,/m/07vlx1,/education/educational_institution/campuses
8038,/m/0tt8c,/m/0tt8c,/location/hud_county_place/place
8531,/m/05w39t,/m/02wvrnj,/people/person/children
8740,/m/0d1j33,/m/0d1j33,/education/educational_institution/campuses
8742,/m/0d1j33,/m/0d1j33,/education/educational_institution_campus/educational_institution
9235,/m/0qq8q,/m/0qq8q,/location/hud_county_place/place
9567,/m/0r9y0,/m/0r9y0,/location/hud_county_place/place
10741,/m/03c9hfq,/m/03c9hfq,/education/educational_institution_campus/educational_institution
10744,/m/03c9hfq,/m/03c9hfq,/education/educational_institution/campuses
10822,/m/0275xd_,/m/01hb9p,/music/album/artist
10995,/m/02qknch,/m/050cqz,/people/person/education./education/education/institution
11043,/m/05f85pb,/m/05f85pb,/education/educational_institution/campuses
11048,/m/05f85pb,/m/05f85pb,/education/educational_institution_campus/educational_institution
11117,/m/08ztpc,/m/0q56s0k,/music/artist/album
11646,/m/0xsnh,/m/0xsnh,/location/hud_county_place/place
11991,/m/06_5f9,/m/06_5f9,/education/educational_institution_campus/educational_institution
11993,/m/06_5f9,/m/06_5f9,/education/educational_institution/campuses
12281,/m/03x_jch,/m/03x_jch,/education/educational_institution/campuses
12283,/m/03x_jch,/m/03x_jch,/education/educational_institution_campus/educational_institution
12620,/m/0w0z7,/m/0w0z7,/location/hud_county_place/place
13283,/m/0fkh_b,/m/0fkh_b,/education/educational_institution/campuses
13288,/m/0fkh_b,/m/0fkh_b,/education/educational_institution_campus/educational_institution
13758,/m/0479ndr,/m/01g3v9,/people/deceased_person/place_of_death
14173,/m/0s143,/m/0s143,/location/hud_county_place/place
14837,/m/08w1zz,/m/06c10,/film/film/cinematography
15551,/m/0sjch,/m/0sjch,/location/hud_county_place/place
15761,/m/07667z,/m/07667z,/award/award_category/category_of
15764,/m/07667z,/m/07667z,/award/award/category
16020,/m/08r7v5,/m/08r7v5,/education/educational_institution_campus/educational_institution
16024,/m/08r7v5,/m/08r7v5,/education/educational_institution/campuses
16214,/m/0181_r,/m/05k8hd,/music/musical_group/member./music/group_membership/member
16337,/m/06wswwk,/m/072sx_,/tv/tv_series_episode/guest_stars./tv/tv_guest_role/actor
16494,/m/05mwcz_,/m/02vp03p,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
16646,/m/01kcsd,/m/01kcsd,/medicine/drug/active_moieties
16647,/m/01kcsd,/m/01kcsd,/medicine/drug_ingredient/active_moiety_of_drug
17271,/m/0tk_4,/m/0tk_4,/location/hud_county_place/place
17339,/m/03r67k,/m/043qb46,/award/award_category/winners./award/award_honor/award_winner
17481,/m/02rkh3z,/m/02qy135,/film/actor/film./film/performance/film
17894,/m/02wvrnj,/m/05w39t,/people/person/parents
18337,/m/0b8_vx,/m/0b8_vx,/dataworld/gardening_hint/split_to
18901,/m/0s9m_,/m/0s9m_,/location/hud_county_place/place
19101,/m/02wxhcq,/m/02wxhcq,/education/educational_institution/campuses
19102,/m/02wxhcq,/m/02wxhcq,/education/educational_institution_campus/educational_institution
19172,/m/0ch26m4,/m/0ch26m4,/education/educational_institution/campuses
19174,/m/0ch26m4,/m/0ch26m4,/education/educational_institution_campus/educational_institution
19382,/m/05c56f,/m/05c56f,/education/educational_institution/campuses
19391,/m/05c56f,/m/05c56f,/education/educational_institution_campus/educational_institution
19719,/m/05k8hd,/m/0181_r,/music/group_member/membership./music/group_membership/group
19794,/m/02rd9hf,/m/02rd9hf,/education/educational_institution/campuses
19796,/m/02rd9hf,/m/02rd9hf,/education/educational_institution_campus/educational_institution
20120,/m/04my7_b,/m/04my7_b,/education/educational_institution/campuses
20122,/m/04my7_b,/m/04my7_b,/education/educational_institution_campus/educational_institution
20397,/m/0x9ch,/m/0x9ch,/location/hud_county_place/place
20433,/m/02z0_km,/m/02z0_km,/education/educational_institution_campus/educational_institution
20438,/m/02z0_km,/m/02z0_km,/education/educational_institution/campuses
20591,/m/02pn49j,/m/02pn49j,/education/educational_institution/campuses
20596,/m/02pn49j,/m/02pn49j,/education/educational_institution_campus/educational_institution
20700,/m/0q56s0k,/m/08ztpc,/music/album/artist
20974,/m/06n47z,/m/0cqnq8,/film/actor/film./film/performance/film
21165,/m/01d1bs,/m/05hh78,/people/person/children
21473,/m/05kx0t,/m/05kx0t,/education/educational_institution/campuses
21474,/m/05kx0t,/m/05kx0t,/education/educational_institution_campus/educational_institution
21481,/m/06xwj9,/m/02pgwh1,/cvg/cvg_publisher/games_published
22066,/m/0563mx,/m/0563mx,/education/educational_institution_campus/educational_institution
22074,/m/0563mx,/m/0563mx,/education/educational_institution/campuses
22221,/m/05dh12,/m/05dh12,/education/educational_institution/campuses
22227,/m/05dh12,/m/05dh12,/education/educational_institution_campus/educational_institution
24717,/m/03j8fq,/m/03j8fq,/education/educational_institution_campus/educational_institution
24718,/m/03j8fq,/m/03j8fq,/education/educational_institution/campuses
24810,/m/020tg6,/m/020tg6,/education/educational_institution/campuses
24811,/m/020tg6,/m/020tg6,/education/educational_institution_campus/educational_institution
25284,/m/02z1552,/m/03gszzh,/people/deceased_person/place_of_death
25402,/m/0h288t,/m/0h288t,/education/educational_institution/campuses
25404,/m/0h288t,/m/0h288t,/education/educational_institution_campus/educational_institution
25863,/m/0cxn2h,/m/0cxn2h,/education/educational_institution/campuses
25865,/m/0cxn2h,/m/0cxn2h,/education/educational_institution_campus/educational_institution
26054,/m/03crt9x,/m/0452wg,/people/person/place_of_birth
26080,/m/06c10,/m/08w1zz,/film/cinematographer/film
26392,/m/0b0yjc,/m/0b0yjc,/education/educational_institution/campuses
26397,/m/0b0yjc,/m/0b0yjc,/education/educational_institution_campus/educational_institution
26804,/m/064h0m,/m/0bs09xw,/tv/tv_series_episode/guest_stars./tv/tv_guest_role/actor
27845,/m/03d9575,/m/03d9575,/education/educational_institution_campus/educational_institution
27846,/m/03d9575,/m/03d9575,/education/educational_institution/campuses
28271,/m/0b3kpr,/m/01ty7_y,/film/film/starring./film/performance/actor
28529,/m/072sx_,/m/06wswwk,/tv/tv_actor/guest_roles./tv/tv_guest_role/episodes_appeared_in
28631,/m/055bft,/m/055bft,/education/educational_institution_campus/educational_institution
28634,/m/055bft,/m/055bft,/education/educational_institution/campuses
28650,/m/06xxfy,/m/02qkwnn,/biology/organism_classification/lower_classifications
28700,/m/02q4pn4,/m/02mpg6,/people/person/education./education/education/institution
29425,/m/0bkj7j,/m/0bkj7j,/education/educational_institution_campus/educational_institution
29427,/m/0bkj7j,/m/0bkj7j,/education/educational_institution/campuses
29633,/m/0s5md,/m/0s5md,/location/hud_county_place/place
29641,/m/0w0rq,/m/0w0rq,/location/hud_county_place/place
29996,/m/02qy135,/m/02rkh3z,/film/film/starring./film/performance/actor
30068,/m/07bm3n,/m/07bm3n,/education/educational_institution_campus/educational_institution
30072,/m/07bm3n,/m/07bm3n,/education/educational_institution/campuses
30092,/m/0ff_48,/m/0ff_48,/education/educational_institution_campus/educational_institution
30097,/m/0ff_48,/m/0ff_48,/education/educational_institution/campuses
30791,/m/025t8l,/m/025t8l,/education/educational_institution_campus/educational_institution
30801,/m/025t8l,/m/025t8l,/education/educational_institution/campuses
